OS;Matrix Size;Process Count;Generations (GEN);Max Time (s);Rank
Windows;840x840;2;100;0,215205;0
Windows;840x840;4;100;0,25712;0
Windows;840x840;6;100;0,249598;0
Windows;840x840;8;100;0,265299;0
Windows;840x840;10;100;0,280234;0
Windows;840x840;12;100;0,299479;0
Linux;1680x1680;1;100;1,096453;0
Linux;1680x1680;2;100;0,568554;1
Linux;1680x1680;4;100;0,584618;1
Linux;1680x1680;6;100;0,568026;1
Linux;1680x1680;8;100;0,553103;0
Linux;1680x1680;10;100;0,570480;1
Linux;1680x1680;12;100;0,551345;1
Linux;1680x1680;16;100;0,550990;1
Linux;1680x1680;20;100;0,553020;1
Linux;1680x1680;24;100;0,553085;1
Linux;1680x1680;28;100;0,553373;1
Linux;1680x1680;32;100;0,552775;0
Windows;1680x1680;1;100;0,798938;0
Windows;1680x1680;2;100;0,451197;1
Windows;1680x1680;4;100;0,546629;1
Windows;1680x1680;6;100;0,557969;0
Windows;1680x1680;8;100;0,587864;0
Windows;1680x1680;10;100;0,611096;1
Windows;1680x1680;12;100;0,652633;1
Linux;3360x3360;1;100;4,375278;0
Linux;3360x3360;2;100;2,206085;1
Linux;3360x3360;4;100;1,110385;1
Linux;3360x3360;6;100;0,753166;4
Linux;3360x3360;8;100;0,566686;2
Linux;3360x3360;10;100;0,453519;4
Linux;3360x3360;12;100;0,413947;6
Linux;3360x3360;16;100;0,413892;5
Linux;3360x3360;20;100;0,411496;7
Linux;3360x3360;24;100;0,410947;9
Linux;3360x3360;28;100;0,413411;3
Linux;3360x3360;32;100;0,425007;8
Windows;3360x3360;1;100;3,260657;0
Windows;3360x3360;2;100;1,733632;0
Windows;3360x3360;4;100;1,194823;1
Windows;3360x3360;6;100;0,825807;1
Windows;3360x3360;8;100;0,671684;3
Windows;3360x3360;10;100;0,585782;6
Windows;3360x3360;12;100;0,567779;3
Linux;13440x13440;1;100;72,686943;0
Linux;13440x13440;2;100;36,393091;0
Linux;13440x13440;4;100;18,238050;2
Linux;13440x13440;6;100;12,175897;3
Linux;13440x13440;8;100;9,132409;5
Linux;13440x13440;10;100;7,326737;5
Linux;13440x13440;12;100;6,135865;3
Linux;13440x13440;16;100;4,418172;5
Linux;13440x13440;20;100;3,539455;2
Linux;13440x13440;24;100;3,004030;13
Linux;13440x13440;28;100;2,550139;9
Linux;13440x13440;32;100;2,231616;15
Windows;13440x13440;1;100;54,2171;0
Windows;13440x13440;2;100;29,066921;1
Windows;13440x13440;4;100;19,378279;2
Windows;13440x13440;6;100;14,657219;4
Windows;13440x13440;8;100;11,824261;7
Windows;13440x13440;10;100;10,240159;1
Windows;13440x13440;12;100;10,229389;3
Linux;20000x20000;1;100;154,467884;0
Linux;20000x20000;2;100;77,279542;0
Linux;20000x20000;4;100;38,643640;1
Linux;20000x20000;6;100;25,785848;2
Linux;20000x20000;8;100;19,354123;7
Linux;20000x20000;10;100;15,493707;4
Linux;20000x20000;12;100;12,940260;6
Linux;20000x20000;16;100;9,714091;1
Linux;20000x20000;20;100;7,801791;4
Linux;20000x20000;24;100;6,504657;0
Linux;20000x20000;28;100;5,589274;2
Linux;20000x20000;32;100;4,889528;27
Windows;20000x20000;1;100;116,38681;0
Windows;20000x20000;2;100;61,430938;0
Windows;20000x20000;4;100;40,044937;1
Windows;20000x20000;6;100;29,363963;1
Windows;20000x20000;8;100;23,875588;3
Windows;20000x20000;10;100;20,168616;1
Windows;20000x20000;12;100;19,773899;6
Linux;50000x50000;1;100;257,486951;0
Linux;50000x50000;2;100;128,764379;0
Linux;50000x50000;4;100;64,474038;3
Linux;50000x50000;6;100;43,015640;5
Linux;50000x50000;8;100;32,298837;4
Linux;50000x50000;10;100;25,841789;5
Linux;50000x50000;12;100;21,559341;4
Linux;50000x50000;16;100;16,179365;6
Linux;50000x50000;20;100;12,964503;13
Linux;50000x50000;24;100;10,796449;18
Linux;50000x50000;28;100;9,256602;17
Linux;50000x50000;32;100;8,117841;10
Windows;50000x50000;1;20;374,516012;0
Windows;50000x50000;2;20;140,343401;0
Windows;50000x50000;4;20;73,434615;0
Windows;50000x50000;6;20;56,17668;1
Windows;50000x50000;8;20;47,121617;0
Windows;50000x50000;10;20;38,743905;1
Windows;50000x50000;12;20;36,12824;4
Linux;100kx50k;12;100;12,185681;4
Linux;100kx50k;24;100;6,121579;11
Linux;100kx50k;32;100;4,614604;15
Windows;100kx50k;4;5;455,715791;1
Windows;100kx50k;10;5;354,573618;1
Windows;100kx50k;12;5;386,863302;3
Linux;100kx100k;12;100;24,329456;7
Linux;100kx100k;24;100;12,156284;14
Linux;100kx100k;32;100;9,152436;30
